KO_fag	KO_NoFag	KO_fag	KO_NoFag	KO_fag	KO_NoFag	WT_fag	WT_NoFag	WT_fag	WT_NoFag	WT_fag	WT_NoFag
ENSMUSG00000090031	1.80337211187518	1.9358136306886	2.6542858678514	1.2620712521526	1.84195218762333	1.30687660441764	2.64085167496243	1.1910722474505	1.85251047207177	2.26008252899111	2.23420213890684	1.40418664630991
ENSMUSG00000033740	0.921707801928193	1.16205943347058	2.16902250213967	1.01006477481966	1.07206815101303	1.617297202685	0.837250932678824	0.939065770117562	1.60050399473883	1.12482753567626	1.07692327772969	1.15218016897697
ENSMUSG00000051285	3.30687128356455	3.54167237543761	3.58920483988593	3.35978270164064	3.44128534436255	4.12210564366337	3.25662357278187	4.14489220827458	3.82981634829652	4.03838129930905	4.03209297207376	3.60786535184196
ENSMUSG00000103509	1.6040713166732	3.05049116660875	1.77295379788592	2.30679326244467	2.2723092250354	2.29966071743001	1.51961444742383	2.26900368204542	2.75034876907302	1.80719105042127	1.7592867924747	3.18447152700846
ENSMUSG00000097797	1.49677241386324	1.73712404540564	1.66565489507596	2.62901139490198	2.16501032222545	2.19236181462005	2.12935295156375	2.16170477923546	1.47962778962373	1.69989214761131	2.17449469611609	2.55465481990525
ENSMUSG00000104226	2.54718475609327	2.78753638763567	2.71606723730599	2.63554172898474	2.69754510517811	3.24277415685008	2.4627278868439	3.21211712146549	3.22598094890391	2.75030448984134	2.70240023189477	2.77765712314205
ENSMUSG00000025909	0.796478132378777	0.928919651192192	0.335702780977439	0.869542245536199	1.51601525589023	0.299982624921231	0.799400837465225	0.831752665136939	1.66560076513075	1.2531885494947	0.322035775566224	0.397292666813499
ENSMUSG00000102253	1.79283296012837	2.03318459167076	2.41650198114344	2.49555490589984	1.94319330921321	1.92599528528488	1.708376090879	1.81019092831774	1.77568833588886	1.99595269387644	2.85332081977408	2.02330532717714
ENSMUSG00000102871	1.90970564794142	2.15005727948381	2.07858812915414	3.04194462898016	2.06006599702626	2.04286797309793	1.82524877869205	1.92706361613079	2.58850184075206	2.11282538168949	2.06492112374292	2.96758805398343
ENSMUSG00000061024	7.02574687134475	5.73395529830865	5.61667056106734	4.5379187164383	5.63287581590576	4.82986570106424	5.90919796211102	6.22145342844394	6.09121950195815	5.27998236132211	4.19235927640185	4.84530724458921
ENSMUSG00000025911	2.76228300907879	1.93610039711394	2.94306346578303	3.42728590303889	2.36398667393375	2.79497455912841	3.89308448521192	3.42068836605685	2.84202621797137	3.07951664195457	3.70643344066693	2.75363117161356
ENSMUSG00000079671	3.41709697244181	3.22709479163003	2.56572667568941	3.93732817441647	4.09688485577343	4.6381977403047	3.85464096850871	3.47300884688784	3.33678655956027	3.90630536658641	3.77464180053279	3.28158363527021
ENSMUSG00000081441	3.47401077610883	3.71436240765122	3.64289325732155	4.93679632800025	4.14224868447103	3.60717310126534	4.10659131380933	4.58429622728977	3.45686615186932	3.67713050985689	4.53449863575454	3.70448314315761
ENSMUSG00000067879	2.54069213302779	3.60702154221585	2.53470332142881	3.37381985230516	3.26022925653925	3.58373067114658	3.37817169611504	4.06563117182365	2.58983049322438	2.62234125860688	2.97152216005945	2.14150666746252
