KO_fag	KO_NoFag	WT_fag	WT_NoFag
ENSMUSG00000043716	7.96842911724908	7.52919268338786	8.04843345565102	7.71956553586252
ENSMUSG00000025921	2.7787044295445	2.68021275974929	2.33556507027572	2.81456609141654
ENSMUSG00000025920	2.40097793195414	2.77585006916335	3.17572049823976	3.54647541228142
ENSMUSG00000025939	4.94482500762995	4.41246344882516	4.64629829676299	4.76014762433686
ENSMUSG00000102457	2.53532202395118	2.59055574236853	2.45820952914068	2.18390246474425
ENSMUSG00000079658	5.94232075453065	6.01131077790998	6.1909436820319	5.84533212751357
ENSMUSG00000025940	6.05333495905714	6.28824536433773	5.76301013022153	6.30805266847523
ENSMUSG00000025779	6.35358686934668	6.13814954222492	6.17446450075553	6.14598240481946
ENSMUSG00000042686	1.81248912541751	1.65874008851253	1.569769634393	1.65426641373739
ENSMUSG00000025777	1.25203032761788	1.02030983844829	1.6814181561164	1.02649396272286
ENSMUSG00000067780	1.14771313762567	1.18869976291191	1.27935081501263	1.73299380186172
ENSMUSG00000085125	0.657580008996259	0.909543881857999	0.567497687753299	1.41185695933699
ENSMUSG00000043760	0.751276549397389	0.13167266836718	0.0518157740095617	-0.0797369715202549
ENSMUSG00000104095	1.91981937962633	2.36907352061395	2.51298416887433	2.21082032845064
ENSMUSG00000041872	2.89908568322589	3.15197075382989	2.61262674010025	3.2072526818774
ENSMUSG00000041859	5.50676833575998	5.59977994224528	5.87689984202592	6.3425374999829
ENSMUSG00000102121	4.16288977943633	4.03037139897257	4.871872857766	4.02282639472823
ENSMUSG00000025931	1.82613267266194	2.28927148446762	1.4293324543566	1.55297665143705
ENSMUSG00000041809	2.93250270249562	3.19795813036007	3.54152091927785	3.18983676075267
ENSMUSG00000041779	4.04126652311372	3.51610004037068	3.98383059212388	3.50547259010168
ENSMUSG00000025933	3.28446438392054	3.53646548032297	4.01242113658254	3.57546559700283
ENSMUSG00000025934	1.82054926740489	2.20484814798904	1.77209719043202	1.64019069228941
ENSMUSG00000041670	0.932687335220333	1.54711631769714	1.26558968244851	1.22578605825734
ENSMUSG00000026158	4.53468947910927	5.04612220069397	3.50533024838443	4.43613540703563
ENSMUSG00000026156	1.98295537410511	1.98885578898913	1.80576859694688	1.56416755645611
ENSMUSG00000026155	2.93985029608918	3.3849657249116	2.88576792063205	3.65738571689851
ENSMUSG00000026154	5.41789460063315	5.25743120724432	5.83281356657566	5.38425300227986
ENSMUSG00000026153	2.04688000275325	2.63903333270444	2.52387841467318	2.81897090102634
ENSMUSG00000026141	1.11534271719927	0.982884122646308	1.48601830251375	0.975339118401966
ENSMUSG00000100131	4.41620991159374	4.92681031901531	5.52922153939643	5.01161820075159
ENSMUSG00000067736	6.14266268157777	5.93359245651453	5.65091265799582	6.58152756576947
ENSMUSG00000101939	6.25642113166849	5.50844667556927	6.52206938376907	5.98731455844675
ENSMUSG00000101111	5.36447154835435	4.97026554945475	5.53160810448474	5.66429984137684
ENSMUSG00000100862	6.26308926505265	5.6094021317103	6.63993519045105	6.83641501703353
ENSMUSG00000102070	6.29897132384527	5.30511364469358	6.11725509475029	5.70120801133632
ENSMUSG00000101249	6.42444454814929	6.48658218728582	6.67594893504271	6.94355844734762
ENSMUSG00000073725	5.53221135100009	5.30928099161152	4.660394595002	5.60475927974016
ENSMUSG00000033569	0.501050369817129	-0.223875586021432	-0.364285968967227	0.387501696835535
ENSMUSG00000103209	2.34132754195257	2.40203988806993	1.8735222351777	2.25461632871389
ENSMUSG00000103563	2.48488393410632	2.52538847490706	2.4320869607566	2.59095612046936
ENSMUSG00000102747	1.99166084155164	2.44981816608732	2.34378834888888	2.46519150385124
ENSMUSG00000073722	2.02347136214535	1.86009926596276	2.00540241190526	1.64885155207127
ENSMUSG00000118548	3.55310072621041	3.62990549249031	3.94623627944021	3.39744643601254
ENSMUSG00000048874	2.27545561802757	3.15289514115884	2.80318670752994	2.92680293409783
ENSMUSG00000103783	2.58159353503806	3.0784484084991	2.31979835218687	2.665041354235
ENSMUSG00000104315	3.13309792761187	3.33332319706404	2.96609333037091	2.98841011902104
ENSMUSG00000117310	2.35618765559224	2.6846725937008	1.57703763562015	1.95789129135037
ENSMUSG00000026064	2.46220143760502	2.98202447647823	2.57792473233542	2.98753691507982
ENSMUSG00000026058	1.00258457247616	1.27166932782246	1.04625832498047	0.85939833528462
ENSMUSG00000104313	3.31197942414036	3.54014796886413	3.00080289921152	3.13160795730204
ENSMUSG00000026134	3.37566988913366	3.60836390147484	3.46842143534648	3.59476441451362
ENSMUSG00000102714	2.2942814062981	2.14617338922415	2.45000264471142	2.38891848500069
ENSMUSG00000004768	2.17466914461849	2.11478511910998	1.34496428296251	1.93785177321856
ENSMUSG00000042215	2.62348180473646	2.55458736969479	2.2347550751245	2.88341654232428
ENSMUSG00000042197	3.5416713111057	4.14723758549806	3.23555069227224	3.25504974917333
ENSMUSG00000042182	3.73825023166332	3.44274428803	3.69879824942118	3.90632899399194
ENSMUSG00000026131	4.43283479203942	4.7264142702474	3.43057772950153	4.02206456142596
ENSMUSG00000103596	3.12263629025101	2.51337556387596	3.31808395444504	2.50583055963162
ENSMUSG00000103364	5.71275472968035	5.54646214731661	4.61551670475003	5.1187850910405
ENSMUSG00000096992	2.4888618380644	2.89564130025584	2.42815412087781	2.29485462729949
ENSMUSG00000103001	3.81456613539537	4.03186522669919	3.75228873176881	3.65771060622407
ENSMUSG00000101462	2.93314873150347	2.93707014387765	2.85740223699616	3.71307425564909
ENSMUSG00000102336	3.32465626790106	3.9420819947013	3.54979036215223	4.17832791981323
ENSMUSG00000042111	6.37083484584259	6.35027049788161	6.23224078269106	6.42315806202599
ENSMUSG00000026127	5.26514941059714	4.74237438058653	4.45401183878567	5.22179700232864
ENSMUSG00000026126	4.51802790817556	4.55842383938717	4.47188357678718	4.91832376349483
ENSMUSG00000100280	3.3486125798086	3.56515561050493	2.97142263908465	3.43293913088082
ENSMUSG00000101223	3.53859077139193	3.79144804488494	3.73520961997673	3.78479728514867
ENSMUSG00000037509	1.53032126715006	1.81767851279138	1.22713653899999	1.7306063506566
ENSMUSG00000104002	2.56497007586633	2.95582743855523	2.68427939509912	2.939265289768
ENSMUSG00000037503	5.16032596070221	5.43041081985698	5.43459302013656	5.6417693810231
ENSMUSG00000104358	3.36378504568301	3.12317344010189	2.69486925700695	2.78363717952657
ENSMUSG00000026123	4.41096215465341	4.65818066509874	4.89346530797091	3.94815252519658
ENSMUSG00000045216	3.44090812447653	4.34550152038114	3.48106430275806	3.52385455628777
ENSMUSG00000102202	2.3685926843266	2.05771351668135	2.26538195144113	2.105979031987
ENSMUSG00000037470	4.46389689220526	4.33528477747562	4.14285039092134	4.76849309673639
ENSMUSG00000047180	4.88309837933471	5.67577195794274	5.13508080451039	5.50444345077308
ENSMUSG00000037447	4.71905178380675	4.86074249657719	4.03058319268923	4.53674038677762
ENSMUSG00000102762	4.4271151252584	4.64512430108934	5.08910576256798	4.24724081364989
ENSMUSG00000010453	4.59566575055258	4.81849802458872	4.5024048120527	4.37168465260925
ENSMUSG00000037432	2.45042637247983	2.63338398466015	2.03501081539417	3.44466537419289
ENSMUSG00000001143	4.66991795506902	4.52766235674385	4.68752685077913	4.76269208803452
ENSMUSG00000037408	5.05458347715548	5.45910792420349	4.91031711589581	4.8401022614472
ENSMUSG00000104316	3.27809783273858	2.65639655631561	3.00438075497769	3.36022828761413
ENSMUSG00000001138	2.91652310799516	3.75548237158129	2.52366534699578	3.75332922286836
